,Clothing,Date,Description,Dress,Pant,Shirt,Skirt,Tags,URL,User,Img
0,carrot orange:christian dior dress;,2018-11-14,Shooting star.,1.0,0.0,0.0,0.0,Rocker;Music Concert;Summer;,http://images2.chictopia.com/photos/Aphrodite/1779984103/carrot-orange-christian-dior-dress_400.jpg,Aphrodite,carrot-orange-christian-dior-dress_400
1,brown:custom made dress;,2018-11-14,Meow.,1.0,0.0,0.0,0.0,Sexy;Brunch;Summer;,http://images0.chictopia.com/photos/Aphrodite/6647629074/brown-custom-made-dress_400.jpg,Aphrodite,brown-custom-made-dress_400
2,:Lollys Laundry dress;,2018-10-20,More to see here:\xc2\xa0https://byruxandra.com/2018/10/20/worry-2/,1.0,0.0,0.0,0.0,Chic;Internship;Summer;,http://images0.chictopia.com/photos/RuxandraIoana/6823068100/lollys-laundry-dress_400.jpg,RuxandraIoana,lollys-laundry-dress_400
3,:Marie& Frisco dress;,2018-10-19,More to see here:\xc2\xa0https://byruxandra.com/2018/10/19/bye/,1.0,0.0,0.0,0.0,Casual;Brunch;Summer;,http://images2.chictopia.com/photos/RuxandraIoana/5783206330/marie-frisco-dress_400.jpg,RuxandraIoana,marie-frisco-dress_400
4,:Caddis Fly dress;,2018-10-07,More to see here:\xc2\xa0https://byruxandra.com/2018/10/07/snap-2/,1.0,0.0,0.0,0.0,Chic;Brunch;Summer;,http://images0.chictopia.com/photos/RuxandraIoana/2370974679/caddis-fly-dress_400.jpg,RuxandraIoana,caddis-fly-dress_400
5,:Eva Trends dress;,2018-10-18,More to see here:\xc2\xa0https://byruxandra.com/2018/10/18/fash/,1.0,0.0,0.0,0.0,Chic;Brunch;Summer;,http://images0.chictopia.com/photos/RuxandraIoana/6669294505/eva-trends-dress_400.jpg,RuxandraIoana,eva-trends-dress_400
6,:shein dress;,2018-09-06,More to see here:\xc2\xa0https://byruxandra.com/2018/09/06/together/,1.0,0.0,0.0,0.0,Chic;Brunch;Summer;,http://images0.chictopia.com/photos/RuxandraIoana/3300397206/shein-dress_400.jpg,RuxandraIoana,shein-dress_400
7,:Newchic dress;,2018-09-03,More to see here:\xc2\xa0https://byruxandra.com/2018/09/04/element/,1.0,0.0,0.0,0.0,"s Market;Summer;""",http://images2.chictopia.com/photos/RuxandraIoana/10315279432/newchic-dress_400.jpg,RuxandraIoana,newchic-dress_400
8,:NA-KD dress;,2018-06-12,Get 20% off at NA-KD with my code - rux20 -\xc2\xa0https://www.na-kd.com/en,1.0,0.0,0.0,0.0,Retro;Picnic;summer;,http://images0.chictopia.com/photos/RuxandraIoana/2149563162/na-kd-dress_400.jpg,RuxandraIoana,na-kd-dress_400
9,:c&a dress;,2018-06-10,More to see here:\xc2\xa0https://byruxandra.com/2018/06/10/the-joke-part-ii/,1.0,0.0,0.0,0.0,Chic;Beach;summer;,http://images2.chictopia.com/photos/RuxandraIoana/2764098565/c-a-dress_400.jpg,RuxandraIoana,c-a-dress_400
10,:Airy Deals dress;,2018-05-24,More to see here:\xc2\xa0https://byruxandra.com/2018/05/24/un-jour-ailleurs/,1.0,0.0,0.0,0.0,Chic;Brunch;summer;,http://images0.chictopia.com/photos/RuxandraIoana/9100879986/airy-deals-dress_400.jpg,RuxandraIoana,airy-deals-dress_400
11,:Closet London dress;,2018-05-21,More to see here:\xc2\xa0https://byruxandra.com/2018/05/21/retro-monday/,1.0,0.0,0.0,0.0,Retro;Brunch;spring;,http://images0.chictopia.com/photos/RuxandraIoana/4552642514/closet-london-dress_400.jpg,RuxandraIoana,closet-london-dress_400
12,:Bohemian in heels dress;,2018-05-16,More to see here:\xc2\xa0https://byruxandra.com/2018/05/16/i-could-be-the-one/,1.0,0.0,0.0,0.0,Chic;Brunch;summer;,http://images0.chictopia.com/photos/RuxandraIoana/4390444723/bohemian-in-heels-dress_400.jpg,RuxandraIoana,bohemian-in-heels-dress_400
13,:Sonia Pena dress;,2018-05-17,More to see here:\xc2\xa0https://byruxandra.com/2018/05/17/we-keep-the-lights-out-2/,1.0,0.0,0.0,0.0,Chic;Blind Date;summer;,http://images0.chictopia.com/photos/RuxandraIoana/4690844547/sonia-pena-dress_400.jpg,RuxandraIoana,sonia-pena-dress_400
14,:Airydress dress;,2018-05-07,More to see here:\xc2\xa0https://byruxandra.com/2018/05/07/ice-cream-crush/,1.0,0.0,0.0,0.0,Comfortable;Everyday;summer;,http://images0.chictopia.com/photos/RuxandraIoana/6153904813/airydress-dress_400.jpg,RuxandraIoana,airydress-dress_400
15,:Airydress dress;,2018-05-05,More to see here:\xc2\xa0https://byruxandra.com/2018/05/05/human/,1.0,0.0,0.0,0.0,Chic;Brunch;spring;,http://images0.chictopia.com/photos/RuxandraIoana/4818179114/airydress-dress_400.jpg,RuxandraIoana,airydress-dress_400
16,:NA-KD dress;,2018-05-03,More to see here:\xc2\xa0https://byruxandra.com/2018/05/03/could-you-tell/,1.0,0.0,0.0,0.0,Chic;Picnic;summer;,http://images0.chictopia.com/photos/RuxandraIoana/8878085403/na-kd-dress_400.jpg,RuxandraIoana,na-kd-dress_400
17,salmon:Ganni dress;,2018-04-30,Ok so I\xe2\x80\x99ll spare you the intro and just say that this dress is Ganni and I\xe2\x80\x99m pretty much fangirling over the whole brand at the moment. Definitely one of those brands you go to for statement-but-not-too-over-the-top pieces. I think you all probably know how much I love western-inspired pieces and high-necked things so Ganni pretty much checks all of those boxes (these boots being my next most likely target).,1.0,0.0,0.0,0.0,Romantic;Cocktail;spring;,http://images0.chictopia.com/photos/districtofchic/3751894232/salmon-floral-ganni-dress-black-velvet-mango-blazer-black-mini-vintage-bag_400.jpg,districtofchic,salmon-floral-ganni-dress-black-velvet-mango-blazer-black-mini-vintage-bag_400
18,:NA-KD dress;,2018-04-28,More to see here:\xc2\xa0https://byruxandra.com/2018/04/28/red-sun/,1.0,0.0,0.0,0.0,Bohemian;Blind Date;spring;,http://images0.chictopia.com/photos/RuxandraIoana/11328561483/na-kd-dress_400.jpg,RuxandraIoana,na-kd-dress_400
19,:Ralph Lauren dress;,2018-04-23,More to see here:\xc2\xa0https://byruxandra.com/2018/04/23/get-busy/,1.0,0.0,0.0,0.0,Chic;Interview;spring;,http://images2.chictopia.com/photos/RuxandraIoana/2925135280/ralph-lauren-dress_400.jpg,RuxandraIoana,ralph-lauren-dress_400
20,yellow:Metisu dress;,2018-04-01,More pictures of this look you can find on my blog: http://branasdivineworld.com/ ,1.0,0.0,0.0,0.0,Elegant;Photo Shoot;spring;,http://images2.chictopia.com/photos/braNYaudreY/6847214310/yellow-metisu-dress-yellow-zara-earrings_400.jpg,braNYaudreY,yellow-metisu-dress-yellow-zara-earrings_400
21,black:H&M dress;,2018-04-02,More pictures of this look you can find on my blog: http://branasdivineworld.com/ ,1.0,1.0,1.0,0.0,Elegant;Dinner Party;spring;,http://images2.chictopia.com/photos/braNYaudreY/8593275033/black-h-m-dress-black-h-m-shirt-black-reserved-socks-gold-h-m-pants_400.jpg,braNYaudreY,black-h-m-dress-black-h-m-shirt-black-reserved-socks-gold-h-m-pants_400
